Unique ID	Member	Lake	Time per year	Age	Top_11_enviro_issues				
BH5687	Yes	Big Hawk Lake	2 - 3 months	56 + years old	2d				
LH9883	Yes	Little Hawk Lake	4 - 6 months	26 - 55 years old	2d	2b	1f		
BH6302	Yes	Big Hawk Lake	2 - 3 months	56 + years old	2c	2b	1a	1d	1b
H1212	Yes	Halls Lake	15 - 30 days	56 + years old	2d				
H3975	Yes	Halls Lake	7+ months	56 + years old	1b	1d	1e	1f	2d
H6672	Yes	Halls Lake	4 - 6 months	56 + years old	1g	1d	1e		
LH6174	No	Little Hawk Lake	0 – I spent no days at our property at this address	56 + years old					
H7101	No	Halls Lake	2 - 3 months	56 + years old	1b	1d	1f	1g	
LH7041	Yes	Little Hawk Lake	4 - 6 months	56 + years old	2d	1f	1a	1g	
S9000	No	Saskatchewan Lake	7+ months	56 + years old	2d				
H3218	Yes	Halls Lake	2 - 3 months	56 + years old	1f				
LH4950	Yes	Little Hawk Lake	2 - 3 months	56 + years old	2d	1g	1f		
BH9817	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1a	2d	1g	2c	2a
LH9043	Yes	Little Hawk Lake	4 - 6 months	56 + years old	1b	1d	2c	1e	1d
LH6060	Yes	Little Hawk Lake	2 - 3 months	56 + years old	2c	2b	2d		
H6512	Yes	Halls Lake	15 - 30 days	56 + years old	1h	1f	1g	2b	2c
LH3429	Yes	Little Hawk Lake	7+ months	56 + years old	2b	2c		1f	1b
BH3515	Yes	Big Hawk Lake	4 - 6 months	26 - 55 years old	1d	1a	1d		
LH4642	Yes	Little Hawk Lake	2 - 3 months	26 - 55 years old					
BH4406	No	Big Hawk Lake	15 - 30 days	26 - 55 years old	1e	2c			
H9181	Yes	Halls Lake	7+ months	56 + years old	1f				
K1934	Yes	Kennisis River	2 - 3 months	56 + years old	1d	1d	1f	1b	
H2667	Yes	Halls Lake	2 - 3 months	56 + years old	2c				
BH4676	Yes	Big Hawk Lake	2 - 3 months	56 + years old	1a	1c	1b	1e	1f
H7589	Yes	Halls Lake	2 - 3 months	56 + years old	2c	1h	1f	1d	2b
BH4467	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2a	2b			
H2334	Yes	Halls Lake	7+ months	56 + years old	2b				
H2724	Yes	Halls Lake	2 - 3 months	56 + years old	2c	2a	1f	1f	
BH2473	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1c				
BH4599	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2a	2b			
BH2712	Yes	Big Hawk Lake	2 - 3 months	56 + years old	1f	1e	2b	2d	
K1122	Yes	Kennisis River	7+ months	56 + years old	1d	1b	1c	1a	
LH5754	Yes	Little Hawk Lake	4 - 6 months	56 + years old	1a	1c	1g		
K5885	Yes	Kennisis River	4 - 6 months	56 + years old	1d	1d	2c	2b	2a
BH1445	Yes	Big Hawk Lake	2 - 3 months	56 + years old	2d				
LH1604	Yes	Little Hawk Lake	2 - 3 months	56 + years old	1f	1g	2d		
LH1941	Yes	Little Hawk Lake	15 - 30 days	56 + years old	1c	1b	1a		
BH3183	Yes	Big Hawk Lake	2 - 3 months	56 + years old	2b	2c			
H9343	Yes	Halls Lake	2 - 3 months	56 + years old					
K1109	Yes	Kennisis River	7+ months	56 + years old	1a	1b	1c	1d	1e
BH6616	No	Big Hawk Lake	15 - 30 days	26 - 55 years old	2c	1e			
K5489	Yes	Kennisis River	4 - 6 months	56 + years old	1c	1d	1f	2b	2d
H8731	Yes	Halls Lake	4 - 6 months	56 + years old	1f				
LH4253	No	Little Hawk Lake	1 - 14 days	56 + years old	1f	1b	1d	1e	1d
BH2642	Yes	Big Hawk Lake	1 - 14 days	Under 25 years old	1d	1a	1b	1d	1e
BH6379	Yes	Big Hawk Lake	4 - 6 months	Under 25 years old	1a	1b	1c	1d	1f
H1711	Yes	Halls Lake	15 - 30 days	56 + years old	1b	2d	1d		
LH3832	Yes	Little Hawk Lake	2 - 3 months	56 + years old	1e	1f	1d	1d	1g
H5620	No	Halls Lake	7+ months	26 - 55 years old	1f	2c	1e		
LH5584	Yes	Little Hawk Lake	15 - 30 days	56 + years old	1a	1b	1c	1d	1g
BH8575	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1f				
BH3754	Yes	Big Hawk Lake	1 - 14 days	26 - 55 years old	1f	1b			
BH2428	No	Big Hawk Lake	15 - 30 days	Under 25 years old	2a				
BH5623	No	Big Hawk Lake	4 - 6 months	56 + years old	2a	2b	2c	2d	
LH8424	No	Little Hawk Lake	4 - 6 months	26 - 55 years old	1f	2c	2b		
BH4600	Yes	Big Hawk Lake	15 - 30 days	56 + years old	2b	2c	2d		
