Lake Name	Township	STN	Site ID	Site Description	Latitude (DMS)	Long (DMS)	Date	Secchi Depth (metres)
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	05/11/2005	6.1
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/02/2005	8
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/29/2005	3
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/06/2005	5.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/12/2005	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/22/2005	5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/29/2005	6.75
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/15/2005	7.75
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/25/2005	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	09/13/2005	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	05/03/2006	9
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/05/2006	10.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/13/2006	8.25
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/30/2006	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/12/2006	7.2
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/31/2006	6.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	09/16/2006	8.25
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	10/01/2006	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/18/2007	10.6
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/08/2007	9.4
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	06/24/2007	9
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	07/17/2007	7.5
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	08/05/2007	6.3
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/10/2007	8.3
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	09/24/2007	8.3
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	10/04/2007	8.8
HALLS LAKE	STANHOPE	1837	2	East Side-Halls Lake	450600	784500	05/01/2008	10.5
